feature,p_value,cohens_d,d_ci_lo,d_ci_hi,mean_human,mean_ai,p_fdr,sig_fdr
pos_INTJ,0.7291244915080741,0.007421195514738671,-0.053575996484703965,0.07162266158438088,0.004220418364200892,0.0041900450288685906,0.7739936909854941,False
dep_rel_ccomp,0.7948713146924985,-0.007238895360212705,-0.06606481540977796,0.05324827455124223,0.017221724777330666,0.01728127519842564,0.8185988166236179,False
dep_rel_nsubj,0.7925804883020705,-0.006763470222639868,-0.06528044666333707,0.05513981591034851,0.05718211113887576,0.05728384587146438,0.8185988166236179,False
tense_Past,0.8498219649805255,-0.004591619345712838,-0.06306438828947597,0.052908854081585174,0.46394506176032557,0.46448628371624123,0.8623193468184744,False
text_entropy,0.9954015824070909,0.00014626078668389435,-0.06133254165771589,0.06309946613975938,7.590169165962393,7.5901460554954,0.9954015824070909,False
pos_PART,,0.0,0.0,0.0,0.0,0.0,,False
pos_PUNCT,,0.0,0.0,0.0,0.0,0.0,,False
pos_X,,0.0,0.0,0.0,0.0,0.0,,False
aspect_Aor,,0.0,0.0,0.0,0.0,0.0,,False
dep_rel_iobj,,0.0,0.0,0.0,0.0,0.0,,False
dep_rel_punct,,0.0,0.0,0.0,0.0,0.0,,False
